#Exported for mctoolsr
"#ASV_ID"	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"	"taxonomy"
"ASV_108"	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	297	0	0	0	0	82	0	0	0	"Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;ASV_108"
"ASV_109"	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	63	7	1	4	61	0	12	2	89	5	0	29	30	3	5	3	66	0	0	27	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;ASV_109"
"ASV_11"	6	5	193	3	0	0	5	0	0	0	7	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1142	4356	3017	17	18	3494	33	0	1	7	0	8	8	180	15	26	29	34	46	28	21	24	61	39	33	1	0	0	0	0	0	0	0	0	0	2	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;ASV_11"
"ASV_110"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	5	330	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	53	"Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfotomaculales Incertae Sedis;NA;ASV_110"
"ASV_111"	1	1	89	3	0	1	14	1	0	0	148	0	47	12	9	0	1	6	4	13	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Dechlorosoma;ASV_111"
"ASV_112"	6	3	8	4	7	2	8	4	4	3	8	8	10	9	4	15	5	5	3	4	4	4	5	6	2	8	7	8	5	3	5	6	10	3	1	13	10	6	10	9	4	7	3	6	4	7	1	5	9	5	2	5	4	4	2	2	0	1	0	0	0	0	46	0	0	4	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA;ASV_112"
"ASV_113"	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	5	27	0	0	7	4	0	0	0	0	0	0	5	2	13	29	98	0	0	43	43	55	5	2	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;ASV_113"
"ASV_114"	1	4	0	0	2	1	0	0	0	0	0	1	2	1	22	3	14	1	4	15	0	1	0	3	1	1	1	0	0	4	1	16	1	0	3	19	15	1	1	17	0	4	1	7	2	1	32	43	16	10	3	15	29	2	26	0	0	0	0	0	0	0	0	0	0	2	"Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;SRB2;NA;ASV_114"
"ASV_115"	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	328	0	0	0	"Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;ASV_115"
"ASV_116"	0	0	1	0	233	0	1	47	0	0	1	0	0	0	38	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;ASV_116"
"ASV_117"	0	0	11	0	0	0	2	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	27	52	1	0	52	2	1	6	56	0	6	1	60	5	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;ASV_117"
"ASV_118"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	329	0	0	0	"Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;ASV_118"
"ASV_119"	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	321	0	0	0	0	0	"Bacteria;Firmicutes;Thermoanaerobacteria;Caldicellulosiruptorales;Caldicellulosiraptoraceae;Caldicellulosiruptor;ASV_119"
"ASV_12"	11	25	700	2	0	0	5	0	6	2	73	0	0	1	1	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	89	62	7727	93	3	14	633	2	35	124	1891	253	96	116	102	173	88	40	77	119	79	84	0	0	0	0	3	0	0	0	0	0	1	"Bacteria;Nitrospirota;Thermodesulfovibrionia;NA;NA;NA;ASV_12"
"ASV_120"	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	290	20	1	"Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus;ASV_120"
"ASV_121"	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	23	38	5	0	64	29	99	61	0	0	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus;ASV_121"
"ASV_122"	0	0	48	1	0	0	34	2	0	0	150	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;NA;NA;ASV_122"
"ASV_123"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Psychroglaciecola;ASV_123"
"ASV_124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;ASV_124"
"ASV_125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	10	3	0	93	0	1	2	77	0	7	0	98	4	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;TSAC18;NA;NA;NA;ASV_125"
"ASV_126"	0	0	44	2	0	6	225	29	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;ASV_126"
"ASV_127"	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	19	138	18	1	0	48	0	0	0	30	0	0	0	34	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;NA;ASV_127"
"ASV_128"	9	1	6	4	4	8	6	5	4	1	3	1	4	4	2	6	5	9	8	7	4	2	3	6	6	7	6	7	9	5	6	6	7	5	2	13	9	8	12	3	7	4	4	5	5	7	2	5	6	6	5	6	14	3	8	0	0	0	0	0	1	1	0	1	0	3	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;ASV_128"
"ASV_129"	1	0	0	1	0	0	5	6	50	0	3	17	2	20	1	63	15	1	31	1	87	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Azorhizobium;ASV_129"
"ASV_13"	13	3	381	3	0	0	10	0	4	0	22	0	11	7	427	0	796	7	102	11	0	123	0	0	0	0	0	0	0	0	688	858	942	5	2	2629	0	1	2	2642	0	2	5	2655	5	17	24	25	2	3	49	6	6	0	0	0	0	0	0	1	0	0	0	0	0	3	"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;ASV_13"
"ASV_130"	1	20	2	18	0	0	3	0	93	84	7	51	0	0	2	14	0	2	1	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;WPS-2;NA;NA;NA;NA;ASV_130"
"ASV_131"	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	67	2	1	8	34	0	3	4	45	132	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Denitratisoma;ASV_131"
"ASV_132"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	4	0	0	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae;Candidatus Dichloromethanomonas;ASV_132"
"ASV_133"	3	2	23	0	0	0	9	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	196	14	0	0	12	0	0	0	2	2	0	2	9	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Nitrospirota;Thermodesulfovibrionia;NA;NA;NA;ASV_133"
"ASV_134"	3	3	35	7	0	5	105	63	2	7	28	0	6	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	8	1	6	0	0	4	1	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;ASV_134"
"ASV_135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Psychroglaciecola;ASV_135"
"ASV_136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	64	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Chloroflexi;Dehalococcoidia;MSBL5;NA;NA;ASV_136"
"ASV_137"	1	0	109	1	0	0	4	0	5	0	166	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;NA;ASV_137"
"ASV_138"	0	0	10	0	0	1	43	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	55	37	0	0	31	0	0	1	37	1	0	0	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;Parvibaculaceae;Parvibaculum;ASV_138"
"ASV_139"	3	2	4	6	4	1	12	4	1	5	14	2	7	5	5	3	4	4	6	6	4	2	8	6	3	7	2	4	2	6	9	7	14	1	3	19	5	2	8	6	6	4	4	14	2	2	3	2	3	3	4	4	1	2	4	0	1	2	0	0	0	0	0	0	0	3	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;ASV_139"
"ASV_14"	1	0	32	1	0	1	1	0	1	0	7	2	1	2	1	2	6	1	2	2	1	2	1	0	2	0	1	2	1	1	62	286	67	2	1	100	463	0	0	8	0	3	0	24	19	3	1978	2817	1045	913	18	976	1917	1	1307	0	0	0	0	7	0	0	0	0	0	1	"Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter;ASV_14"
"ASV_140"	4	15	63	22	0	0	3	2	1	6	36	0	3	15	4	43	0	5	15	9	22	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfurisporaceae;Desulfurispora;ASV_140"
"ASV_141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	276	0	0	0	0	0	0	0	0	0	1	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;ASV_141"
"ASV_142"	0	0	4	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	20	0	1	3	1	0	21	12	32	10	2	23	7	7	24	19	14	6	5	25	10	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;ASV_142"
"ASV_143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	28	0	13	183	4	10	0	0	29	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Porphyrobacter;ASV_143"
"ASV_144"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;ASV_144"
"ASV_145"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	255	0	0	0	"Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;ASV_145"
"ASV_146"	0	0	8	0	0	0	0	10	0	0	4	0	1	24	21	1	16	6	18	1	0	1	0	0	0	0	0	0	0	0	8	15	22	2	2	23	3	0	2	5	1	0	1	14	51	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_146"
"ASV_147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;ASV_147"
"ASV_148"	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	239	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;ASV_148"
"ASV_149"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	1	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis;ASV_149"
"ASV_15"	0	0	460	0	2	0	1917	5	0	0	159	1	3	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	3314	1301	3189	0	0	17	1	0	0	5	0	0	0	2	1	1	0	1	0	0	1	1	1	0	0	0	549	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Cecembia;ASV_15"
"ASV_150"	0	0	25	0	0	0	17	0	0	0	28	0	5	8	27	0	12	12	30	80	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;ASV_150"
"ASV_151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;ASV_151"
"ASV_152"	1	0	120	0	0	0	3	0	0	0	98	0	0	2	2	2	0	0	1	0	0	2	3	0	6	2	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfurisporaceae;Desulfurispora;ASV_152"
