cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.34,4.68,958.40,31.68,-0.56,466.74
0.32,4.68,957.70,31.67,-0.57,472.83
0.32,4.68,958.20,31.69,-0.56,468.48
0.32,4.68,958.50,31.73,-0.56,465.87
0.34,4.68,958.30,31.72,-0.56,467.61
0.30,4.68,958.00,31.72,-0.56,470.22
0.30,4.68,958.20,31.71,-0.56,468.48
0.32,4.67,958.10,31.71,-0.56,469.35
0.30,4.68,958.00,31.71,-0.56,470.22
0.32,4.67,958.50,31.71,-0.56,465.87
0.36,4.68,958.50,31.71,-0.56,465.87
0.34,4.68,958.30,31.71,-0.56,467.61
0.34,4.68,958.30,31.72,-0.56,467.61
0.27,4.68,958.50,31.72,-0.56,465.87
0.32,4.68,958.10,31.72,-0.56,469.35
0.32,4.68,958.00,31.72,-0.56,470.22
0.34,4.68,958.20,31.72,-0.56,468.48
0.30,4.68,958.30,31.72,-0.56,467.61
0.34,4.68,958.20,31.72,-0.56,468.48
0.34,4.68,958.60,31.72,-0.56,465.00
0.34,4.68,958.50,31.72,-0.56,465.87
0.34,4.68,958.10,31.72,-0.56,469.35
0.32,4.68,958.40,31.72,-0.56,466.74
0.34,4.68,958.10,31.72,-0.56,469.35
0.32,4.67,958.30,31.72,-0.56,467.61
0.34,4.68,958.20,31.73,-0.56,468.48
0.32,4.68,958.20,31.73,-0.56,468.48
0.32,4.68,958.70,31.73,-0.56,464.13
0.34,4.68,958.40,31.73,-0.56,466.74
0.36,4.68,958.20,31.74,-0.56,468.48
0.34,4.68,958.20,31.74,-0.56,468.48
0.34,4.68,958.20,31.74,-0.56,468.48
0.32,4.68,958.10,31.74,-0.56,469.35
0.32,4.68,958.20,31.75,-0.56,468.48
0.27,4.70,958.20,31.76,-0.56,468.48
0.34,4.68,958.20,31.75,-0.56,468.48
0.34,4.68,958.40,31.76,-0.56,466.74
0.30,4.68,958.10,31.75,-0.56,469.35
0.36,4.68,957.70,31.75,-0.57,472.83
0.32,4.68,958.20,31.74,-0.56,468.48
0.34,4.67,958.00,31.74,-0.56,470.22
0.34,4.68,958.30,31.74,-0.56,467.61
0.32,4.68,958.20,31.74,-0.56,468.48
0.36,4.68,958.60,31.74,-0.56,465.00
0.34,4.68,958.30,31.74,-0.56,467.61
0.34,4.68,957.80,31.74,-0.56,471.96
0.36,4.68,957.80,31.74,-0.56,471.96
0.38,4.68,958.30,31.73,-0.56,467.61
0.34,4.68,958.30,31.72,-0.56,467.61
0.30,4.68,958.00,31.71,-0.56,470.22
0.38,4.68,958.20,31.71,-0.56,468.48
0.27,4.68,958.10,31.71,-0.56,469.35
0.36,4.68,957.80,31.71,-0.56,471.96
0.34,4.68,957.90,31.71,-0.56,471.09
0.30,4.68,958.20,31.71,-0.56,468.48
0.32,4.68,958.70,31.70,-0.56,464.13
0.30,4.68,958.40,31.70,-0.56,466.74
0.32,4.68,958.10,31.69,-0.56,469.35
0.34,4.68,958.10,31.69,-0.56,469.35
0.32,4.68,958.00,31.68,-0.56,470.22
0.36,4.68,958.60,31.68,-0.56,465.00
0.34,4.68,958.30,31.67,-0.56,467.61
0.32,4.68,958.10,31.66,-0.56,469.35
0.32,4.68,958.80,31.65,-0.55,463.26
0.34,4.67,958.30,31.64,-0.56,467.61
0.34,4.68,958.10,31.63,-0.56,469.35
0.30,4.68,958.10,31.63,-0.56,469.35
0.32,4.68,957.90,31.63,-0.56,471.09
0.36,4.68,958.20,31.62,-0.56,468.48
0.36,4.68,958.50,31.63,-0.56,465.87
0.30,4.68,958.30,31.62,-0.56,467.61
0.32,4.68,958.40,31.62,-0.56,466.74
0.34,4.68,958.30,31.62,-0.56,467.61
0.36,4.68,958.20,31.62,-0.56,468.48
0.34,4.68,958.00,31.62,-0.56,470.22
0.36,4.68,958.30,31.61,-0.56,467.61
0.32,4.68,958.10,31.61,-0.56,469.35
0.38,4.68,958.20,31.61,-0.56,468.48
0.32,4.68,958.20,31.61,-0.56,468.48
0.36,4.67,958.30,31.60,-0.56,467.61
0.38,4.68,958.20,31.60,-0.56,468.48
0.34,4.68,958.10,31.60,-0.56,469.35
0.36,4.68,958.20,31.59,-0.56,468.48
0.34,4.68,957.70,31.59,-0.57,472.83
0.34,4.68,958.30,31.58,-0.56,467.61
0.36,4.68,958.10,31.58,-0.56,469.35
0.34,4.67,957.90,31.58,-0.56,471.09
0.36,4.68,957.90,31.58,-0.56,471.09
0.36,4.68,958.20,31.57,-0.56,468.48
0.32,4.68,957.60,31.57,-0.57,473.70
0.36,4.67,958.00,31.57,-0.56,470.22
0.32,4.68,958.00,31.57,-0.56,470.22
0.34,4.68,958.20,31.58,-0.56,468.48
0.34,4.68,958.10,31.58,-0.56,469.35
0.36,4.68,958.10,31.57,-0.56,469.35
0.36,4.68,958.30,31.57,-0.56,467.61
0.36,4.68,958.10,31.57,-0.56,469.35
0.30,4.67,957.90,31.57,-0.56,471.09
0.34,4.68,958.00,31.57,-0.56,470.22
0.32,4.68,958.00,31.57,-0.56,470.22
0.34,4.67,958.00,31.57,-0.56,470.22
0.30,4.68,957.80,31.57,-0.56,471.96
0.36,4.68,958.10,31.57,-0.56,469.35
0.34,4.68,957.80,31.56,-0.56,471.96
0.34,4.68,957.50,31.56,-0.57,474.58
0.32,4.68,958.10,31.56,-0.56,469.35
0.36,4.67,958.10,31.55,-0.56,469.35
0.36,4.68,958.20,31.55,-0.56,468.48
0.36,4.68,958.20,31.54,-0.56,468.48
0.34,4.68,957.80,31.54,-0.56,471.96
0.36,4.68,957.70,31.54,-0.57,472.83
0.34,4.68,958.00,31.54,-0.56,470.22
0.34,4.69,957.90,31.53,-0.56,471.09
0.32,4.68,957.80,31.52,-0.56,471.96
0.34,4.67,958.30,31.51,-0.56,467.61
0.34,4.67,957.80,31.51,-0.56,471.96
0.34,4.68,958.40,31.51,-0.56,466.74
0.32,4.68,958.30,31.50,-0.56,467.61
0.34,4.68,957.80,31.50,-0.56,471.96
0.34,4.68,958.20,31.50,-0.56,468.48
0.32,4.68,958.10,31.51,-0.56,469.35
0.36,4.68,957.90,31.51,-0.56,471.09
0.34,4.68,958.10,31.52,-0.56,469.35
0.32,4.67,957.90,31.52,-0.56,471.09
0.32,4.67,957.90,31.52,-0.56,471.09
0.36,4.67,957.90,31.52,-0.56,471.09
0.32,4.68,958.40,31.52,-0.56,466.74
0.34,4.68,957.60,31.52,-0.57,473.70
0.36,4.67,957.80,31.52,-0.56,471.96
0.34,4.68,957.90,31.51,-0.56,471.09
0.34,4.68,958.80,31.50,-0.55,463.26
0.32,4.68,958.90,31.52,-0.55,462.39
0.36,4.68,958.10,31.55,-0.56,469.35
0.38,4.68,958.10,31.55,-0.56,469.35
0.36,4.68,958.20,31.52,-0.56,468.48
0.34,4.68,958.00,31.54,-0.56,470.22
0.36,4.68,958.80,31.53,-0.55,463.26
0.38,4.68,959.90,31.55,-0.54,453.69
0.38,4.68,958.80,31.54,-0.55,463.26
0.32,4.69,958.50,31.57,-0.56,465.87
0.36,4.68,958.10,31.55,-0.56,469.35
0.34,4.68,957.90,31.57,-0.56,471.09
0.34,4.69,958.70,31.59,-0.56,464.13
0.34,4.69,958.40,31.60,-0.56,466.74
0.32,4.68,959.00,31.62,-0.55,461.52
0.30,4.69,958.80,31.64,-0.55,463.26
0.36,4.68,958.30,31.67,-0.56,467.61
0.32,4.68,958.50,31.66,-0.56,465.87
0.38,4.67,958.40,31.66,-0.56,466.74
0.34,4.68,958.30,31.64,-0.56,467.61
0.36,4.68,957.70,31.61,-0.57,472.83
0.34,4.67,957.90,31.61,-0.56,471.09
0.36,4.68,958.00,31.60,-0.56,470.22
0.32,4.68,958.30,31.59,-0.56,467.61
0.38,4.68,957.90,31.57,-0.56,471.09
0.38,4.68,958.10,31.56,-0.56,469.35
0.34,4.68,958.30,31.55,-0.56,467.61
0.34,4.68,957.60,31.54,-0.57,473.70
0.38,4.68,957.80,31.53,-0.56,471.96
0.38,4.68,958.60,31.52,-0.56,465.00
0.34,4.68,958.20,31.51,-0.56,468.48
0.38,4.68,958.30,31.50,-0.56,467.61
0.32,4.67,957.70,31.49,-0.57,472.83
0.36,4.68,958.20,31.48,-0.56,468.48
0.32,4.68,958.10,31.48,-0.56,469.35
0.32,4.68,958.30,31.47,-0.56,467.61
0.38,4.68,958.20,31.46,-0.56,468.48
0.32,4.68,958.50,31.45,-0.56,465.87
0.34,4.68,958.00,31.44,-0.56,470.22
0.38,4.68,958.40,31.44,-0.56,466.74
0.38,4.68,957.90,31.44,-0.56,471.09
0.34,4.68,958.20,31.44,-0.56,468.48
0.34,4.70,957.50,31.43,-0.57,474.58
0.38,4.68,957.60,31.42,-0.57,473.70
0.36,4.67,958.20,31.40,-0.56,468.48
0.34,4.69,957.80,31.38,-0.56,471.96
0.36,4.69,957.80,31.37,-0.56,471.96
0.38,4.69,957.80,31.36,-0.56,471.96
0.40,4.68,958.00,31.36,-0.56,470.22
0.40,4.68,957.80,31.34,-0.56,471.96
0.36,4.68,957.40,31.32,-0.57,475.45
0.34,4.68,957.70,31.30,-0.57,472.83
0.38,4.68,957.60,31.29,-0.57,473.70
0.32,4.67,958.10,31.28,-0.56,469.35
0.36,4.68,957.50,31.27,-0.57,474.58
0.40,4.67,957.80,31.25,-0.56,471.96
0.36,4.67,957.90,31.24,-0.56,471.09
0.34,4.68,957.80,31.23,-0.56,471.96
0.38,4.69,958.20,31.22,-0.56,468.48
0.32,4.70,957.90,31.21,-0.56,471.09
0.38,6.03,957.60,31.20,-0.57,473.70
0.38,3.66,957.90,31.20,-0.56,471.09
0.36,9.54,957.70,31.18,-0.57,472.83
0.38,4.88,958.00,31.17,-0.56,470.22
0.34,1.47,957.40,31.16,-0.57,475.45
0.36,3.75,958.00,31.15,-0.56,470.22
0.36,11.86,957.90,31.15,-0.56,471.09
0.34,5.44,957.50,31.15,-0.57,474.58
0.34,3.56,957.80,31.14,-0.56,471.96
0.34,3.03,957.60,31.14,-0.57,473.70
0.34,4.20,958.30,31.14,-0.56,467.61
0.32,4.66,957.80,31.14,-0.56,471.96
0.32,2.29,957.60,31.14,-0.57,473.70
0.36,4.47,957.90,31.13,-0.56,471.09
0.34,-0.14,957.60,31.13,-0.57,473.70
0.30,3.92,958.20,31.13,-0.56,468.48
0.38,0.87,958.30,31.13,-0.56,467.61
0.34,8.88,957.90,31.13,-0.56,471.09
0.40,11.80,958.30,31.13,-0.56,467.61
0.34,6.58,958.10,31.13,-0.56,469.35
0.32,5.80,957.40,31.13,-0.57,475.45
0.32,6.77,958.30,31.13,-0.56,467.61
0.30,12.43,957.80,31.13,-0.56,471.96
0.34,-0.55,957.80,31.13,-0.56,471.96
0.38,1.35,957.80,31.13,-0.56,471.96
0.38,1.25,957.50,31.13,-0.57,474.58
0.36,0.92,957.90,31.13,-0.56,471.09
0.36,1.46,957.70,31.13,-0.57,472.83
0.32,-0.57,957.80,31.13,-0.56,471.96
0.38,-0.58,957.90,31.13,-0.56,471.09
0.36,-0.58,958.20,31.13,-0.56,468.48
0.34,-0.58,958.00,31.13,-0.56,470.22
0.34,-0.58,958.00,31.13,-0.56,470.22
0.34,-0.57,958.00,31.13,-0.56,470.22
0.34,4.56,957.50,31.12,-0.57,474.58
0.32,4.70,958.00,31.12,-0.56,470.22
0.36,-0.57,957.90,31.12,-0.56,471.09
0.32,11.23,957.80,31.12,-0.56,471.96
0.36,-0.20,957.70,31.12,-0.57,472.83
0.34,-0.57,957.50,31.12,-0.57,474.58
0.36,-0.57,958.30,31.12,-0.56,467.61
0.36,4.07,957.70,31.12,-0.57,472.83
0.32,-0.10,958.00,31.11,-0.56,470.22
0.34,1.24,957.90,31.11,-0.56,471.09
0.36,-0.54,957.90,31.12,-0.56,471.09
0.34,-0.57,958.10,31.12,-0.56,469.35
0.36,-0.57,957.50,31.13,-0.57,474.58
0.36,-0.57,958.10,31.13,-0.56,469.35
0.34,-0.58,958.20,31.13,-0.56,468.48
0.36,2.16,957.80,31.14,-0.56,471.96
0.32,4.15,957.80,31.13,-0.56,471.96
0.34,6.69,957.80,31.13,-0.56,471.96
0.32,8.86,958.10,31.13,-0.56,469.35
0.36,14.96,957.60,31.13,-0.57,473.70
0.32,14.98,957.80,31.13,-0.56,471.96
0.36,14.98,958.00,31.13,-0.56,470.22
0.36,15.00,957.80,31.14,-0.56,471.96
0.36,15.02,958.00,31.14,-0.56,470.22
0.36,15.04,957.80,31.14,-0.56,471.96
0.36,13.68,957.60,31.15,-0.57,473.70
0.34,12.99,957.70,31.15,-0.57,472.83
0.36,12.25,957.60,31.16,-0.57,473.70
0.38,11.86,958.10,31.16,-0.56,469.35
0.34,11.56,957.60,31.16,-0.57,473.70
0.34,10.95,957.90,31.16,-0.56,471.09
0.36,10.61,957.70,31.16,-0.57,472.83
0.34,10.43,957.50,31.17,-0.57,474.58
0.38,10.08,957.60,31.17,-0.57,473.70
0.38,2.95,958.10,31.17,-0.56,469.35
0.34,-0.57,957.80,31.17,-0.56,471.96
0.34,-0.57,958.20,31.17,-0.56,468.48
0.38,-0.58,957.90,31.18,-0.56,471.09
0.32,-0.57,958.10,31.18,-0.56,469.35
0.36,-0.57,957.90,31.17,-0.56,471.09
0.32,6.64,957.90,31.18,-0.56,471.09
0.36,10.16,957.90,31.17,-0.56,471.09
0.38,13.84,957.60,31.18,-0.57,473.70
0.38,15.01,957.80,31.17,-0.56,471.96
0.38,13.63,957.90,31.18,-0.56,471.09
0.32,10.00,958.10,31.18,-0.56,469.35
0.34,8.45,957.70,31.18,-0.57,472.83
0.36,14.98,958.20,31.19,-0.56,468.48
0.36,14.97,958.00,31.18,-0.56,470.22
0.36,14.97,957.90,31.18,-0.56,471.09
0.34,14.97,958.00,31.18,-0.56,470.22
0.38,14.98,958.10,31.18,-0.56,469.35
0.36,14.98,958.00,31.17,-0.56,470.22
0.34,14.98,957.70,31.16,-0.57,472.83
0.34,14.98,957.70,31.16,-0.57,472.83
0.34,14.98,957.90,31.14,-0.56,471.09
0.38,14.97,957.70,31.13,-0.57,472.83
0.36,14.98,958.50,31.13,-0.56,465.87
0.36,14.98,957.50,31.12,-0.57,474.58
0.36,14.98,957.80,31.11,-0.56,471.96
0.36,14.97,957.50,31.11,-0.57,474.58
0.36,14.98,957.90,31.11,-0.56,471.09
0.38,14.97,957.90,31.10,-0.56,471.09
0.40,14.97,958.20,31.10,-0.56,468.48
0.34,14.97,957.60,31.09,-0.57,473.70
0.34,14.97,957.80,31.08,-0.56,471.96
0.36,14.98,957.80,31.07,-0.56,471.96
0.38,14.97,957.60,31.06,-0.57,473.70
0.40,14.98,957.60,31.06,-0.57,473.70
0.34,9.18,957.60,31.05,-0.57,473.70
0.38,-0.57,958.10,31.05,-0.56,469.35
0.38,-0.57,957.90,31.05,-0.56,471.09
0.36,-0.58,958.00,31.04,-0.56,470.22
0.32,-0.58,958.10,31.04,-0.56,469.35
0.30,-0.58,957.90,31.04,-0.56,471.09
0.36,-0.58,957.90,31.04,-0.56,471.09
0.38,-0.58,958.40,31.04,-0.56,466.74
0.32,-0.58,957.90,31.04,-0.56,471.09
0.36,-0.58,957.60,31.04,-0.57,473.70
0.38,-0.58,958.10,31.04,-0.56,469.35
0.36,-0.58,958.50,31.04,-0.56,465.87
0.32,-0.58,958.00,31.04,-0.56,470.22
0.36,-0.58,957.90,31.04,-0.56,471.09
0.36,-0.58,958.00,31.04,-0.56,470.22
0.38,-0.58,958.20,31.04,-0.56,468.48
0.34,-0.58,957.80,31.04,-0.56,471.96
0.36,-0.58,958.20,31.03,-0.56,468.48
0.32,-0.58,957.90,31.03,-0.56,471.09
0.34,-0.58,957.80,31.03,-0.56,471.96
0.36,-0.58,957.60,31.03,-0.57,473.70
0.36,-0.58,957.90,31.03,-0.56,471.09
0.32,-0.58,958.00,31.02,-0.56,470.22
0.36,-0.58,958.20,31.02,-0.56,468.48
0.36,-0.58,958.20,31.01,-0.56,468.48
0.36,-0.58,958.40,31.01,-0.56,466.74
0.34,-0.57,957.60,31.01,-0.57,473.70
0.36,-0.58,958.00,31.01,-0.56,470.22
0.36,-0.58,957.90,31.01,-0.56,471.09
0.32,-0.57,957.50,31.01,-0.57,474.58
0.30,-0.57,957.50,31.01,-0.57,474.58
0.34,-0.58,958.00,31.00,-0.56,470.22
0.34,-0.58,958.10,31.00,-0.56,469.35
0.34,-0.53,957.90,30.99,-0.56,471.09
0.30,-0.14,958.00,30.99,-0.56,470.22
0.36,0.12,957.80,30.99,-0.56,471.96
0.34,0.44,958.30,30.99,-0.56,467.61
0.34,0.64,957.70,30.99,-0.57,472.83
0.36,0.94,957.70,30.98,-0.57,472.83
0.34,1.14,957.80,30.98,-0.56,471.96
0.32,1.45,957.90,30.98,-0.56,471.09
0.36,1.69,958.30,30.97,-0.56,467.61
0.38,1.92,957.90,30.98,-0.56,471.09
0.34,2.13,957.90,30.98,-0.56,471.09
0.38,2.34,957.50,30.98,-0.57,474.58
0.38,2.51,958.20,30.97,-0.56,468.48
0.36,2.75,958.00,30.97,-0.56,470.22
0.38,2.94,957.80,30.97,-0.56,471.96
0.40,3.09,958.30,30.97,-0.56,467.61
0.36,3.25,957.80,30.96,-0.56,471.96
0.34,3.44,957.90,30.96,-0.56,471.09
0.36,3.59,957.60,30.95,-0.57,473.70
0.38,3.71,957.70,30.95,-0.57,472.83
0.34,3.86,957.50,30.94,-0.57,474.58
0.34,3.97,957.30,30.94,-0.57,476.32
0.36,4.10,957.30,30.94,-0.57,476.32
0.38,4.20,957.80,30.93,-0.56,471.96
0.38,4.32,957.90,30.93,-0.56,471.09
0.36,4.18,957.50,30.93,-0.57,474.58
0.32,3.59,958.00,30.92,-0.56,470.22
0.40,3.11,958.10,30.92,-0.56,469.35
0.34,2.93,957.90,30.92,-0.56,471.09
0.36,3.53,957.70,30.92,-0.57,472.83
0.32,1.82,957.90,30.91,-0.56,471.09
0.34,1.55,957.60,30.91,-0.57,473.70
0.38,2.48,957.80,30.92,-0.56,471.96
0.34,3.38,957.50,30.91,-0.57,474.58
0.38,3.65,958.10,30.91,-0.56,469.35
0.40,2.14,957.70,30.91,-0.57,472.83
0.34,4.02,958.10,30.91,-0.56,469.35
0.36,5.68,957.90,30.90,-0.56,471.09
0.32,6.78,958.10,30.90,-0.56,469.35
0.36,7.55,957.90,30.90,-0.56,471.09
0.34,7.49,958.10,30.90,-0.56,469.35
0.38,7.29,957.70,30.90,-0.57,472.83
0.32,7.66,957.60,30.90,-0.57,473.70
0.34,8.22,957.40,30.89,-0.57,475.45
0.36,8.07,958.20,30.89,-0.56,468.48
0.38,10.37,957.80,30.89,-0.56,471.96
0.36,10.07,957.60,30.89,-0.57,473.70
0.34,8.27,958.00,30.89,-0.56,470.22
0.38,8.56,957.70,30.89,-0.57,472.83
0.38,10.21,957.90,30.89,-0.56,471.09
0.32,10.73,957.60,30.89,-0.57,473.70
0.36,10.70,958.00,30.90,-0.56,470.22
0.36,10.42,957.60,30.90,-0.57,473.70
0.34,9.02,958.00,30.90,-0.56,470.22
0.36,10.47,957.90,30.90,-0.56,471.09
0.38,9.69,957.40,30.91,-0.57,475.45
0.38,9.79,957.90,30.91,-0.56,471.09
0.34,8.36,957.60,30.91,-0.57,473.70
0.34,7.17,958.00,30.91,-0.56,470.22
0.36,7.12,957.90,30.92,-0.56,471.09
0.36,9.10,957.80,30.92,-0.56,471.96
0.32,9.79,957.80,30.92,-0.56,471.96
0.32,10.02,957.10,30.92,-0.57,478.06
0.38,9.96,957.70,30.93,-0.57,472.83
0.38,9.64,957.70,30.93,-0.57,472.83
0.36,9.78,957.40,30.93,-0.57,475.45
0.34,9.75,957.60,30.93,-0.57,473.70
0.36,9.37,958.00,30.93,-0.56,470.22
0.36,9.28,958.20,30.93,-0.56,468.48
0.36,9.35,957.80,30.93,-0.56,471.96
0.32,9.63,958.10,30.93,-0.56,469.35
0.36,9.33,957.60,30.94,-0.57,473.70
0.36,9.21,957.70,30.94,-0.57,472.83
0.38,9.09,957.90,30.94,-0.56,471.09
0.36,9.08,957.50,30.94,-0.57,474.58
0.40,8.83,958.10,30.95,-0.56,469.35
0.36,8.11,958.00,30.96,-0.56,470.22
0.36,7.81,957.50,30.96,-0.57,474.58
0.38,7.94,958.20,30.96,-0.56,468.48
0.32,7.67,958.10,30.96,-0.56,469.35
0.36,7.59,958.00,30.96,-0.56,470.22
0.38,7.59,957.80,30.96,-0.56,471.96
0.32,8.28,958.00,30.97,-0.56,470.22
0.36,7.90,957.90,30.98,-0.56,471.09
0.38,7.81,957.90,30.98,-0.56,471.09
0.36,7.79,957.60,30.98,-0.57,473.70
0.34,7.85,957.70,30.99,-0.57,472.83
0.34,6.06,958.00,30.99,-0.56,470.22
0.36,5.69,957.60,30.99,-0.57,473.70
0.34,5.69,958.30,31.00,-0.56,467.61
0.38,5.69,957.90,31.01,-0.56,471.09
0.32,5.73,958.30,31.01,-0.56,467.61
0.34,5.79,958.00,31.02,-0.56,470.22
0.38,6.13,957.80,31.02,-0.56,471.96
0.36,6.06,958.00,31.02,-0.56,470.22
0.34,5.88,957.80,31.03,-0.56,471.96
0.36,6.60,958.10,31.03,-0.56,469.35
